Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2009,AQS,060370002,1,46.9,ug/m3 LC,129,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/2/2009,AQS,060370002,1,46.9,ug/m3 LC,129,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/3/2009,AQS,060370002,1,25.8,ug/m3 LC,80,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/4/2009,AQS,060370002,1,5.4,ug/m3 LC,23,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/6/2009,AQS,060370002,1,18.8,ug/m3 LC,65,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/7/2009,AQS,060370002,1,20.2,ug/m3 LC,68,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/8/2009,AQS,060370002,1,32,ug/m3 LC,93,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/9/2009,AQS,060370002,1,26.1,ug/m3 LC,80,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/11/2009,AQS,060370002,1,2.5,ug/m3 LC,10,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/12/2009,AQS,060370002,1,3.5,ug/m3 LC,15,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/13/2009,AQS,060370002,1,5.8,ug/m3 LC,24,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/14/2009,AQS,060370002,1,3.6,ug/m3 LC,15,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/15/2009,AQS,060370002,1,2.2,ug/m3 LC,9,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/17/2009,AQS,060370002,1,1.9,ug/m3 LC,8,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/18/2009,AQS,060370002,1,1.7,ug/m3 LC,7,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/19/2009,AQS,060370002,1,3.8,ug/m3 LC,16,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/23/2009,AQS,060370002,1,6.8,ug/m3 LC,28,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/24/2009,AQS,060370002,1,3.4,ug/m3 LC,14,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/25/2009,AQS,060370002,1,5.5,ug/m3 LC,23,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/26/2009,AQS,060370002,1,3.8,ug/m3 LC,16,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/27/2009,AQS,060370002,1,4.1,ug/m3 LC,17,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
1/31/2009,AQS,060370002,1,4.5,ug/m3 LC,19,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/2/2009,AQS,060370002,1,3.5,ug/m3 LC,15,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/4/2009,AQS,060370002,1,3.5,ug/m3 LC,15,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/6/2009,AQS,060370002,1,2.7,ug/m3 LC,11,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/7/2009,AQS,060370002,1,2.1,ug/m3 LC,9,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/8/2009,AQS,060370002,1,7.2,ug/m3 LC,30,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/9/2009,AQS,060370002,1,3.9,ug/m3 LC,16,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/10/2009,AQS,060370002,1,4.3,ug/m3 LC,18,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/12/2009,AQS,060370002,1,6.4,ug/m3 LC,27,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/21/2009,AQS,060370002,1,9.8,ug/m3 LC,41,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/22/2009,AQS,060370002,1,15.6,ug/m3 LC,58,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/23/2009,AQS,060370002,1,5.9,ug/m3 LC,25,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/24/2009,AQS,060370002,1,11.9,ug/m3 LC,50,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/25/2009,AQS,060370002,1,11.4,ug/m3 LC,48,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/26/2009,AQS,060370002,1,14.3,ug/m3 LC,56,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/27/2009,AQS,060370002,1,16.9,ug/m3 LC,61,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
2/28/2009,AQS,060370002,1,6.6,ug/m3 LC,28,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/1/2009,AQS,060370002,1,5.5,ug/m3 LC,23,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/2/2009,AQS,060370002,1,8.9,ug/m3 LC,37,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/3/2009,AQS,060370002,1,5.9,ug/m3 LC,25,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/4/2009,AQS,060370002,1,3.7,ug/m3 LC,15,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/5/2009,AQS,060370002,1,2.9,ug/m3 LC,12,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/6/2009,AQS,060370002,1,6.1,ug/m3 LC,25,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/7/2009,AQS,060370002,1,8.1,ug/m3 LC,34,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/8/2009,AQS,060370002,1,10.7,ug/m3 LC,45,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/9/2009,AQS,060370002,1,9.1,ug/m3 LC,38,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/10/2009,AQS,060370002,1,10,ug/m3 LC,42,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/11/2009,AQS,060370002,1,10.4,ug/m3 LC,43,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/12/2009,AQS,060370002,1,10.4,ug/m3 LC,43,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/13/2009,AQS,060370002,1,13.6,ug/m3 LC,54,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/14/2009,AQS,060370002,1,21.5,ug/m3 LC,71,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/15/2009,AQS,060370002,1,12.2,ug/m3 LC,51,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/16/2009,AQS,060370002,1,13.8,ug/m3 LC,55,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
3/17/2009,AQS,060370002,1,19.3,ug/m3 LC,66,Azusa,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,34.1365,-117.92391
