"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/1999","AQS","060371301","1","41.8","ug/m3 LC","117","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"01/06/1999","AQS","060371301","1","67.7","ug/m3 LC","157","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"01/12/1999","AQS","060371301","1","42","ug/m3 LC","117","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"01/18/1999","AQS","060371301","1","44.1","ug/m3 LC","122","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"01/24/1999","AQS","060371301","1","11.7","ug/m3 LC","49","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"01/27/1999","AQS","060371301","1","16.5","ug/m3 LC","60","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"02/02/1999","AQS","060371301","1","20.1","ug/m3 LC","68","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"02/05/1999","AQS","060371301","1","20.2","ug/m3 LC","68","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"02/08/1999","AQS","060371301","1","14.4","ug/m3 LC","56","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"02/11/1999","AQS","060371301","1","28.7","ug/m3 LC","86","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"02/14/1999","AQS","060371301","1","25.9","ug/m3 LC","80","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"02/17/1999","AQS","060371301","1","35.4","ug/m3 LC","100","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"02/20/1999","AQS","060371301","1","34.8","ug/m3 LC","99","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"02/23/1999","AQS","060371301","1","21.6","ug/m3 LC","71","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"02/26/1999","AQS","060371301","1","19.8","ug/m3 LC","67","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"03/01/1999","AQS","060371301","1","37.1","ug/m3 LC","105","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"03/07/1999","AQS","060371301","1","10.5","ug/m3 LC","44","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"03/10/1999","AQS","060371301","1","14.4","ug/m3 LC","56","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"03/13/1999","AQS","060371301","1","36.3","ug/m3 LC","103","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"03/16/1999","AQS","060371301","1","20.2","ug/m3 LC","68","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"03/19/1999","AQS","060371301","1","20.5","ug/m3 LC","69","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"03/28/1999","AQS","060371301","1","27.7","ug/m3 LC","84","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"03/31/1999","AQS","060371301","1","12.1","ug/m3 LC","51","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"04/03/1999","AQS","060371301","1","13.6","ug/m3 LC","54","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"04/06/1999","AQS","060371301","1","10.6","ug/m3 LC","44","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"04/09/1999","AQS","060371301","1","9","ug/m3 LC","38","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"04/15/1999","AQS","060371301","1","53.2","ug/m3 LC","145","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"04/18/1999","AQS","060371301","1","32.9","ug/m3 LC","95","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"04/21/1999","AQS","060371301","1","19","ug/m3 LC","66","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"04/24/1999","AQS","060371301","1","17.4","ug/m3 LC","62","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"04/27/1999","AQS","060371301","1","24.2","ug/m3 LC","76","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"04/30/1999","AQS","060371301","1","16.1","ug/m3 LC","59","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"05/03/1999","AQS","060371301","1","13.2","ug/m3 LC","53","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"05/06/1999","AQS","060371301","1","27.2","ug/m3 LC","83","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"05/09/1999","AQS","060371301","1","20","ug/m3 LC","68","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"05/12/1999","AQS","060371301","1","26.7","ug/m3 LC","82","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"05/15/1999","AQS","060371301","1","15.3","ug/m3 LC","58","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"05/18/1999","AQS","060371301","1","15.5","ug/m3 LC","58","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"05/21/1999","AQS","060371301","1","14","ug/m3 LC","55","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"05/24/1999","AQS","060371301","1","18.3","ug/m3 LC","64","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"05/27/1999","AQS","060371301","1","34.7","ug/m3 LC","99","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"05/30/1999","AQS","060371301","1","10.8","ug/m3 LC","45","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"06/02/1999","AQS","060371301","1","8.9","ug/m3 LC","37","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"06/05/1999","AQS","060371301","1","14.3","ug/m3 LC","56","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"06/08/1999","AQS","060371301","1","17.2","ug/m3 LC","62","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
"06/11/1999","AQS","060371301","1","23.3","ug/m3 LC","75","Lynwood","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","33.92899","-118.21071"
